gene,log2FC,U_stat,pvalue,qvalue,neg_log10_q,significant,direction
ATXN2,-0.14321340095084167,6911.0,7.463074888275896e-10,9.851258852524183e-08,7.006508269220947,False,ns
PRPH,-0.5929881853597578,6931.0,8.723766335949108e-10,1.1318527605103203e-07,6.946210065600871,False,ns
TACSTD2,-0.3804403715434965,6930.0,8.656074241813374e-10,1.1318527605103203e-07,6.946210065600871,False,ns
EEPD1,-0.2886099929344894,6949.0,1.0034246559551173e-09,1.2908462946948034e-07,6.8891254675244396,False,ns
NEDD4L,-0.44845839889729433,6961.0,1.1012673356377539e-09,1.4048099289900088e-07,6.8523824318975874,False,ns
SMYD3,0.23561944140578106,16794.0,1.1447234233960037e-09,1.4243361940287982e-07,6.846387489646669,False,ns
TRAK1,-0.1605344530278181,6965.0,1.1358968763892755e-09,1.4243361940287982e-07,6.846387489646669,False,ns
NEK6,0.3643842245737545,16795.0,1.1358968763892755e-09,1.4243361940287982e-07,6.846387489646669,False,ns
PTRF,-0.2536954656845154,6971.0,1.1898496949426288e-09,1.4684486479048053e-07,6.833141236285563,False,ns
MAPRE2,-0.21399972312022264,6974.0,1.2177490855506473e-09,1.4907605740853892e-07,6.826592101485393,False,ns
ANXA3,-0.46429329211151504,6976.0,1.2367045625742242e-09,1.501854020790138e-07,6.823372278414631,False,ns
TSPEAR,0.64848773296956,16782.0,1.255951609020408e-09,1.5131226527722058e-07,6.8201258669119165,False,ns
CTNNBIP1,-0.30334222924926735,7002.0,1.5108925466290073e-09,1.7779340199866924e-07,6.750084359950386,False,ns
NAA20,0.14967348024620897,16760.0,1.487855182488402e-09,1.7779340199866924e-07,6.750084359950386,False,ns
RPL29,0.17891007458409014,16759.0,1.4993331305494979e-09,1.7779340199866924e-07,6.750084359950386,False,ns
FCRL5,1.0597781317487858,16755.0,1.5461189848985537e-09,1.8053912454430806e-07,6.743428667816777,True,up_COPD
CD19,1.017034494136734,16749.0,1.6189687782829306e-09,1.8760264163614417e-07,6.726761050605551,True,up_COPD
KCND3,0.2970463749489074,16748.0,1.631420942031762e-09,1.8761340833365263e-07,6.7267361267393255,False,ns
SPRED2,-0.2541874010156189,7030.0,1.8724019066612864e-09,2.1211373146754352e-07,6.6734312159362865,False,ns
FAM189A1,-0.5713169314961037,7030.0,1.872413703336682e-09,2.1211373146754352e-07,6.6734312159362865,False,ns
EIF2S2,-0.20819038968753034,7042.0,2.051991879520754e-09,2.290385053759195e-07,6.640091499029021,False,ns
RNASE2,0.7574546634927284,16718.0,2.051991879520754e-09,2.290385053759195e-07,6.640091499029021,False,ns
TMEM154,0.48603032041187166,16716.0,2.083508474779062e-09,2.308588222419428e-07,6.636653524284667,False,ns
SPINT2,-0.23711354947200292,7047.0,2.131669354531033e-09,2.3448362899841364e-07,6.629887473135853,False,ns
RPSAP52,0.1783459610304039,16712.0,2.1479425235243994e-09,2.3457386695755673e-07,6.629720372733299,False,ns
E2F3,0.3187899270695649,16702.0,2.3177139524539217e-09,2.4952409785993285e-07,6.602887505903435,False,ns
DPYSL3,-0.2990323362583567,7058.0,2.3177139524539217e-09,2.4952409785993285e-07,6.602887505903435,False,ns
NCOR2,-0.1354889841675373,7060.0,2.3531843194862263e-09,2.5155871809718953e-07,6.5993606270327545,False,ns
EDN1,-0.698551577664162,7064.0,2.4257635726512877e-09,2.5395235195066587e-07,6.595247760648079,False,ns
PSMF1,-0.1284140864337271,7064.0,2.4257484980576936e-09,2.5395235195066587e-07,6.595247760648079,False,ns
SERPINF1,0.5710239010358027,16697.0,2.4074207008522328e-09,2.5395235195066587e-07,6.595247760648079,False,ns
GPM6A,-0.4080278336138594,7070.0,2.5387055898937104e-09,2.5864208260146166e-07,6.587300811417373,False,ns
NCALD,-0.30430832909756056,7070.0,2.538713458999854e-09,2.5864208260146166e-07,6.587300811417373,False,ns
MOB1A,0.27956016114786486,16692.0,2.500505892905275e-09,2.5864208260146166e-07,6.587300811417373,False,ns
FRZB,0.5118667250628661,16691.0,2.519539139034016e-09,2.5864208260146166e-07,6.587300811417373,False,ns
ANKRD27,-0.17278497974830387,7072.0,2.5774734258453398e-09,2.6084031069554837e-07,6.583625291161703,False,ns
REPS2,-0.2788452866583775,7074.0,2.6168419035297517e-09,2.63070596659481e-07,6.579927690196866,False,ns
DRAM2,0.18779439007772147,16685.0,2.636728818570883e-09,2.633259438546447e-07,6.5795063504729425,False,ns
POLE4,0.14725344940493557,16684.0,2.6567711083870023e-09,2.6359336879290646e-07,6.579065519468291,False,ns
COL10A1,0.8955703835675282,16683.0,2.6769617341017855e-09,2.638719423614617e-07,6.578606786079317,False,ns
YPEL1,-0.274821431506159,7080.0,2.738434330163015e-09,2.681898911733843e-07,6.5715575959488355,False,ns
DHRS9,0.6267595498261489,16678.0,2.7801860701382646e-09,2.7053349067114654e-07,6.567778963779777,False,ns
MAGEA8,-0.1358679168381569,7091.0,2.9757893881439305e-09,2.877228210956998e-07,6.541025690133072,False,ns
RPL17,0.1844809818656401,16665.0,3.067020603499672e-09,2.94666916209652e-07,6.530668621917803,False,ns
ARHGAP15,0.32549787516748374,16664.0,3.0902221030431085e-09,2.95028751724493e-07,6.530135658235963,False,ns
BTBD6,-0.15844053718794626,7098.0,3.1371773858580696e-09,2.9763970448328433e-07,6.526309135331039,False,ns
PRSS35,-0.46383891472641814,7100.0,3.184846572043793e-09,3.002855339355576e-07,6.5224655891572905,False,ns
FAM49B,0.2533432186277693,16652.0,3.382581645764338e-09,3.1696042828828795e-07,6.4989949549708665,False,ns
FYB,0.4327794876176494,16648.0,3.4858757973234105e-09,3.2463554971392254e-07,6.488603923822107,False,ns
SLITRK6,-0.8149815712272535,7118.0,3.646636388925788e-09,3.359826516904681e-07,6.473683146626856,False,ns
DPEP1,0.9865976516033648,16641.0,3.6741185889734985e-09,3.359826516904681e-07,6.473683146626856,False,ns
ETFB,-0.16154873135381997,7119.0,3.674073935885192e-09,3.359826516904681e-07,6.473683146626856,False,ns
PARD3,-0.24634405544669846,7121.0,3.72968914151474e-09,3.390220429233159e-07,6.469772063423064,False,ns
EXOC7,-0.16863755612508946,7124.0,3.814558902429389e-09,3.4467264368379835e-07,6.462593184734317,False,ns
SOSTDC1,-1.126062493884687,7128.0,3.9307035157577935e-09,3.530655583976527e-07,6.452144645867635,True,down_COPD
F11R,-0.19363472483490796,7134.0,4.111337709767891e-09,3.671182731428034e-07,6.435193998150386,False,ns
PPP1R26,-0.21461027837101732,7147.0,4.530934015218151e-09,4.02219756438664e-07,6.395536601313695,False,ns
C1S,0.29952751451195425,16610.0,4.6335094196526064e-09,4.0893414529259636e-07,6.388346625094875,False,ns
